id,时间戳,地点,温度,ph,PM2.5,备注,录入设备名称
238,2025-06-17 17:30:00,天津南开,20.0,7.4,31,检测连续稳定，无明显相关迹象。,EnvSensor-C3
239,2025-06-17 17:45:00,苏州吴中,30.2,7.0,42,检测连续稳定，无明显相关迹象。,EnvSensor-C3
240,2025-06-17 18:00:00,南京鼓楼,23.0,7.1,71,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-A1
241,2025-06-17 18:15:00,哈尔滨道里,20.8,7.0,45,传感器工作正常，相关概率低。,EnvSensor-C3
242,2025-06-17 18:30:00,深圳南山,25.4,6.9,53,当前时段为相关，需关注PM变化。,EnvSensor-B2
243,2025-06-17 18:45:00,天津南开,27.3,6.9,77,数据波动明显，疑似相关影响。,EnvSensor-A1
244,2025-06-17 19:00:00,广州天河,26.5,7.5,78,数据波动明显，疑似相关影响。,EnvSensor-A1
245,2025-06-17 19:15:00,无锡滨湖,20.2,7.5,74,周围环境相关，采样值可信。,EnvSensor-A1
246,2025-06-17 19:30:00,苏州吴中,29.4,7.3,68,数据波动明显，疑似相关影响。,EnvSensor-A1
247,2025-06-17 19:45:00,天津南开,29.5,6.8,53,监测点靠近相关区域，可能存在施工风险。,EnvSensor-A1
248,2025-06-17 20:00:00,无锡滨湖,25.2,6.7,75,当前时段为相关，需关注PM变化。,EnvSensor-B2
249,2025-06-17 20:15:00,青岛市南,29.4,6.9,33,周围环境相关，采样值可信。,EnvSensor-B2
250,2025-06-17 20:30:00,合肥庐阳,23.8,7.2,60,检测连续稳定，无明显相关迹象。,EnvSensor-C3
251,2025-06-17 20:45:00,济南历下,23.6,7.0,39,当前时段为相关，需关注PM变化。,EnvSensor-A1
252,2025-06-17 21:00:00,合肥庐阳,27.6,7.1,73,数据波动明显，疑似相关影响。,EnvSensor-A1
253,2025-06-17 21:15:00,苏州吴中,31.4,7.3,38,相关可能导致当前读数偏高。,EnvSensor-B2
254,2025-06-17 21:30:00,武汉武昌,29.9,7.1,59,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-C3
255,2025-06-17 21:45:00,南京鼓楼,24.1,7.2,75,传感器工作正常，相关概率低。,EnvSensor-C3
256,2025-06-17 22:00:00,天津南开,31.6,7.0,40,周围环境相关，采样值可信。,EnvSensor-C3
257,2025-06-17 22:15:00,上海浦东,24.8,7.2,70,传感器工作正常，相关概率低。,EnvSensor-C3
258,2025-06-17 22:30:00,苏州吴中,29.6,7.0,47,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-B2
259,2025-06-17 22:45:00,哈尔滨道里,28.1,7.1,55,数据波动明显，疑似相关影响。,EnvSensor-A1
260,2025-06-17 23:00:00,南京鼓楼,28.2,7.5,35,监测点靠近相关区域，可能存在交通高峰风险。,EnvSensor-B2
261,2025-06-17 23:15:00,青岛市南,23.6,6.9,66,数据波动明显，疑似相关影响。,EnvSensor-C3
262,2025-06-17 23:30:00,长沙雨花,20.1,7.2,48,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-C3
263,2025-06-17 23:45:00,合肥庐阳,31.8,6.7,57,数据波动明显，疑似相关影响。,EnvSensor-C3
264,2025-06-18 00:00:00,郑州金水,24.0,7.4,60,检测连续稳定，无明显相关迹象。,EnvSensor-B2
265,2025-06-18 00:15:00,济南历下,24.9,7.0,79,周围环境相关，采样值可信。,EnvSensor-A1
266,2025-06-18 00:30:00,天津南开,29.3,6.8,76,监测点靠近相关区域，可能存在突变风险。,EnvSensor-B2
267,2025-06-18 00:45:00,北京海淀,22.2,7.3,79,周围环境相关，采样值可信。,EnvSensor-B2
268,2025-06-18 01:00:00,深圳南山,26.8,6.8,56,检测连续稳定，无明显相关迹象。,EnvSensor-C3
269,2025-06-18 01:15:00,长沙雨花,31.2,7.1,40,数据波动明显，疑似相关影响。,EnvSensor-B2
270,2025-06-18 01:30:00,武汉武昌,24.8,7.4,61,当前时段为相关，需关注PM变化。,EnvSensor-A1
271,2025-06-18 01:45:00,哈尔滨道里,20.8,7.0,40,传感器工作正常，相关概率低。,EnvSensor-C3
272,2025-06-18 02:00:00,无锡滨湖,24.3,7.0,74,周围环境相关，采样值可信。,EnvSensor-C3
273,2025-06-18 02:15:00,重庆渝中,23.5,6.9,80,周围环境相关，采样值可信。,EnvSensor-A1
274,2025-06-18 02:30:00,重庆渝中,24.7,7.0,52,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-C3
275,2025-06-18 02:45:00,天津南开,26.7,7.4,79,传感器工作正常，相关概率低。,EnvSensor-C3
276,2025-06-18 03:00:00,南京鼓楼,21.4,7.2,69,传感器工作正常，相关概率低。,EnvSensor-C3
277,2025-06-18 03:15:00,上海浦东,30.7,7.2,35,相关可能导致当前读数偏高。,EnvSensor-C3
278,2025-06-18 03:30:00,深圳南山,28.6,7.3,55,数据波动明显，疑似相关影响。,EnvSensor-A1
279,2025-06-18 03:45:00,成都高新,27.9,7.1,53,周围环境相关，采样值可信。,EnvSensor-B2
280,2025-06-18 04:00:00,宁波鄞州,27.2,6.9,77,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-B2
281,2025-06-18 04:15:00,北京海淀,29.8,7.3,53,传感器工作正常，相关概率低。,EnvSensor-A1
282,2025-06-18 04:30:00,郑州金水,21.5,7.3,56,当前时段为相关，需关注PM变化。,EnvSensor-A1
283,2025-06-18 04:45:00,无锡滨湖,29.8,6.9,45,检测连续稳定，无明显相关迹象。,EnvSensor-B2
284,2025-06-18 05:00:00,天津南开,31.9,7.4,36,检测连续稳定，无明显相关迹象。,EnvSensor-A1
285,2025-06-18 05:15:00,杭州滨江,20.6,6.9,36,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-C3
286,2025-06-18 05:30:00,长沙雨花,20.1,6.9,30,检测连续稳定，无明显相关迹象。,EnvSensor-B2
287,2025-06-18 05:45:00,郑州金水,23.1,7.3,40,检测连续稳定，无明显相关迹象。,EnvSensor-C3
288,2025-06-18 06:00:00,青岛市南,28.4,7.3,33,监测点靠近相关区域，可能存在施工风险。,EnvSensor-C3
289,2025-06-18 06:15:00,哈尔滨道里,21.5,6.9,32,检测连续稳定，无明显相关迹象。,EnvSensor-A1
290,2025-06-18 06:30:00,杭州滨江,25.7,7.3,80,相关可能导致当前读数偏高。,EnvSensor-A1
291,2025-06-18 06:45:00,无锡滨湖,26.2,7.0,49,检测连续稳定，无明显相关迹象。,EnvSensor-A1
292,2025-06-18 07:00:00,济南历下,25.4,7.0,66,当前时段为相关，需关注PM变化。,EnvSensor-A1
293,2025-06-18 07:15:00,杭州滨江,23.1,7.1,58,周围环境相关，采样值可信。,EnvSensor-B2
294,2025-06-18 07:30:00,济南历下,24.3,7.2,52,相关可能导致当前读数偏高。,EnvSensor-A1
295,2025-06-18 07:45:00,宁波鄞州,23.7,6.8,71,检测连续稳定，无明显相关迹象。,EnvSensor-A1
296,2025-06-18 08:00:00,北京海淀,21.2,7.3,71,数据波动明显，疑似相关影响。,EnvSensor-C3
297,2025-06-18 08:15:00,长沙雨花,26.2,6.9,49,相关可能导致当前读数偏高。,EnvSensor-B2
298,2025-06-18 08:30:00,西安碑林,28.2,7.0,32,检测连续稳定，无明显相关迹象。,EnvSensor-A1
299,2025-06-18 08:45:00,苏州吴中,28.8,6.8,56,当前时段为相关，需关注PM变化。,EnvSensor-B2
300,2025-06-18 09:00:00,武汉武昌,20.4,7.3,45,监测点靠近相关区域，可能存在突变风险。,EnvSensor-B2
301,2025-06-18 09:15:00,济南历下,23.3,7.1,40,数据波动明显，疑似相关影响。,EnvSensor-B2
302,2025-06-18 09:30:00,杭州滨江,20.4,7.2,55,当前时段为相关，需关注PM变化。,EnvSensor-C3
303,2025-06-18 09:45:00,青岛市南,31.4,7.0,37,相关可能导致当前读数偏高。,EnvSensor-B2
304,2025-06-18 10:00:00,杭州滨江,22.9,7.1,38,周围环境相关，采样值可信。,EnvSensor-B2
305,2025-06-18 10:15:00,武汉武昌,25.5,6.8,38,相关可能导致当前读数偏高。,EnvSensor-C3
306,2025-06-18 10:30:00,成都高新,23.1,7.4,32,相关可能导致当前读数偏高。,EnvSensor-C3
307,2025-06-18 10:45:00,济南历下,29.6,7.3,43,相关可能导致当前读数偏高。,EnvSensor-C3
308,2025-06-18 11:00:00,南京鼓楼,23.1,7.1,63,传感器工作正常，相关概率低。,EnvSensor-B2
309,2025-06-18 11:15:00,成都高新,24.0,7.3,40,传感器工作正常，相关概率低。,EnvSensor-A1
310,2025-06-18 11:30:00,广州天河,26.4,7.2,32,监测点靠近相关区域，可能存在绿化带风险。,EnvSensor-B2
311,2025-06-18 11:45:00,北京海淀,28.3,6.7,30,周围环境相关，采样值可信。,EnvSensor-C3
312,2025-06-18 12:00:00,天津南开,22.2,7.4,50,相关可能导致当前读数偏高。,EnvSensor-C3
313,2025-06-18 12:15:00,西安碑林,31.9,7.1,58,传感器工作正常，相关概率低。,EnvSensor-B2
314,2025-06-18 12:30:00,宁波鄞州,28.9,7.1,78,数据波动明显，疑似相关影响。,EnvSensor-B2
315,2025-06-18 12:45:00,北京海淀,26.1,6.8,65,数据波动明显，疑似相关影响。,EnvSensor-C3
316,2025-06-18 13:00:00,深圳南山,25.6,7.2,38,数据波动明显，疑似相关影响。,EnvSensor-C3
317,2025-06-18 13:15:00,深圳南山,22.0,7.4,75,数据波动明显，疑似相关影响。,EnvSensor-C3
318,2025-06-18 13:30:00,长沙雨花,25.6,7.2,40,当前时段为相关，需关注PM变化。,EnvSensor-B2
319,2025-06-18 13:45:00,天津南开,24.8,7.2,46,检测连续稳定，无明显相关迹象。,EnvSensor-C3
320,2025-06-18 14:00:00,苏州吴中,29.3,7.1,35,周围环境相关，采样值可信。,EnvSensor-B2
321,2025-06-18 14:15:00,北京海淀,23.5,7.5,37,传感器工作正常，相关概率低。,EnvSensor-A1
322,2025-06-18 14:30:00,郑州金水,30.6,7.1,73,相关可能导致当前读数偏高。,EnvSensor-B2
323,2025-06-18 14:45:00,合肥庐阳,21.3,7.3,35,传感器工作正常，相关概率低。,EnvSensor-B2
324,2025-06-18 15:00:00,哈尔滨道里,30.9,7.4,47,周围环境相关，采样值可信。,EnvSensor-A1
325,2025-06-18 15:15:00,西安碑林,21.7,7.3,47,周围环境相关，采样值可信。,EnvSensor-B2
326,2025-06-18 15:30:00,青岛市南,27.2,7.1,34,周围环境相关，采样值可信。,EnvSensor-C3
327,2025-06-18 15:45:00,苏州吴中,26.7,7.3,76,数据波动明显，疑似相关影响。,EnvSensor-C3
328,2025-06-18 16:00:00,天津南开,30.8,7.1,75,周围环境相关，采样值可信。,EnvSensor-A1
329,2025-06-18 16:15:00,杭州滨江,31.6,6.9,35,传感器工作正常，相关概率低。,EnvSensor-C3
330,2025-06-18 16:30:00,深圳南山,21.5,6.9,79,当前时段为相关，需关注PM变化。,EnvSensor-C3
331,2025-06-18 16:45:00,成都高新,21.7,7.1,38,当前时段为相关，需关注PM变化。,EnvSensor-A1
332,2025-06-18 17:00:00,合肥庐阳,24.6,7.5,72,数据波动明显，疑似相关影响。,EnvSensor-A1
333,2025-06-18 17:15:00,哈尔滨道里,24.7,7.3,47,周围环境相关，采样值可信。,EnvSensor-C3
334,2025-06-18 17:30:00,哈尔滨道里,23.4,7.2,44,周围环境相关，采样值可信。,EnvSensor-A1
335,2025-06-18 17:45:00,合肥庐阳,31.7,7.0,35,相关可能导致当前读数偏高。,EnvSensor-A1
336,2025-06-18 18:00:00,重庆渝中,21.2,7.0,37,数据波动明显，疑似相关影响。,EnvSensor-C3
337,2025-06-18 18:15:00,西安碑林,31.7,7.2,55,监测点靠近相关区域，可能存在施工风险。,EnvSensor-A1
338,2025-06-18 18:30:00,深圳南山,23.3,7.5,59,检测连续稳定，无明显相关迹象。,EnvSensor-A1
339,2025-06-18 18:45:00,南京鼓楼,23.9,7.3,61,数据波动明显，疑似相关影响。,EnvSensor-C3
340,2025-06-18 19:00:00,天津南开,20.8,7.1,57,检测连续稳定，无明显相关迹象。,EnvSensor-A1
341,2025-06-18 19:15:00,济南历下,23.6,6.8,50,数据波动明显，疑似相关影响。,EnvSensor-A1
342,2025-06-18 19:30:00,杭州滨江,28.3,7.5,41,数据波动明显，疑似相关影响。,EnvSensor-B2
343,2025-06-18 19:45:00,南京鼓楼,26.0,7.1,30,相关可能导致当前读数偏高。,EnvSensor-C3
344,2025-06-18 20:00:00,深圳南山,23.9,7.5,69,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-C3
345,2025-06-18 20:15:00,南京鼓楼,23.2,7.3,35,检测连续稳定，无明显相关迹象。,EnvSensor-A1
346,2025-06-18 20:30:00,成都高新,25.7,7.4,58,监测点靠近相关区域，可能存在设备维护风险。,EnvSensor-A1
347,2025-06-18 20:45:00,苏州吴中,31.0,6.9,31,相关可能导致当前读数偏高。,EnvSensor-C3
348,2025-06-18 21:00:00,苏州吴中,22.6,7.2,34,数据波动明显，疑似相关影响。,EnvSensor-A1
349,2025-06-18 21:15:00,北京海淀,26.5,7.3,62,相关可能导致当前读数偏高。,EnvSensor-B2
350,2025-06-18 21:30:00,西安碑林,22.4,6.7,75,周围环境相关，采样值可信。,EnvSensor-B2
351,2025-06-18 21:45:00,郑州金水,24.4,7.0,62,监测点靠近相关区域，可能存在设备维护风险。,EnvSensor-B2
352,2025-06-18 22:00:00,苏州吴中,24.8,6.8,34,相关可能导致当前读数偏高。,EnvSensor-A1
353,2025-06-18 22:15:00,苏州吴中,31.6,7.2,70,当前时段为相关，需关注PM变化。,EnvSensor-C3
354,2025-06-18 22:30:00,苏州吴中,22.6,7.2,46,传感器工作正常，相关概率低。,EnvSensor-A1
355,2025-06-18 22:45:00,杭州滨江,28.7,6.7,75,传感器工作正常，相关概率低。,EnvSensor-C3
356,2025-06-18 23:00:00,杭州滨江,23.4,7.1,46,检测连续稳定，无明显相关迹象。,EnvSensor-C3
357,2025-06-18 23:15:00,重庆渝中,22.3,6.9,33,当前时段为相关，需关注PM变化。,EnvSensor-B2
358,2025-06-18 23:30:00,济南历下,27.5,7.2,33,数据波动明显，疑似相关影响。,EnvSensor-A1
359,2025-06-18 23:45:00,青岛市南,22.6,7.2,61,数据波动明显，疑似相关影响。,EnvSensor-C3
360,2025-06-19 00:00:00,合肥庐阳,27.8,7.0,56,传感器工作正常，相关概率低。,EnvSensor-A1
361,2025-06-19 00:15:00,广州天河,28.1,7.4,60,检测连续稳定，无明显相关迹象。,EnvSensor-B2
362,2025-06-19 00:30:00,苏州吴中,25.1,7.5,47,当前时段为相关，需关注PM变化。,EnvSensor-B2
363,2025-06-19 00:45:00,深圳南山,22.4,6.9,37,周围环境相关，采样值可信。,EnvSensor-A1
364,2025-06-19 01:00:00,西安碑林,22.8,6.7,73,传感器工作正常，相关概率低。,EnvSensor-B2
365,2025-06-19 01:15:00,北京海淀,26.0,7.4,71,监测点靠近相关区域，可能存在绿化带风险。,EnvSensor-A1
366,2025-06-19 01:30:00,广州天河,24.1,7.4,56,当前时段为相关，需关注PM变化。,EnvSensor-A1
367,2025-06-19 01:45:00,武汉武昌,22.5,6.8,79,传感器工作正常，相关概率低。,EnvSensor-A1
368,2025-06-19 02:00:00,深圳南山,20.1,6.9,70,传感器工作正常，相关概率低。,EnvSensor-A1
369,2025-06-19 02:15:00,长沙雨花,27.1,6.8,68,相关可能导致当前读数偏高。,EnvSensor-B2
370,2025-06-19 02:30:00,无锡滨湖,26.1,7.2,65,周围环境相关，采样值可信。,EnvSensor-C3
371,2025-06-19 02:45:00,哈尔滨道里,28.5,6.8,48,传感器工作正常，相关概率低。,EnvSensor-A1
372,2025-06-19 03:00:00,南京鼓楼,22.4,6.8,62,检测连续稳定，无明显相关迹象。,EnvSensor-B2
373,2025-06-19 03:15:00,合肥庐阳,21.9,7.0,80,数据波动明显，疑似相关影响。,EnvSensor-B2
374,2025-06-19 03:30:00,苏州吴中,20.3,7.2,54,数据波动明显，疑似相关影响。,EnvSensor-A1
375,2025-06-19 03:45:00,西安碑林,22.8,7.0,57,当前时段为相关，需关注PM变化。,EnvSensor-B2
376,2025-06-19 04:00:00,哈尔滨道里,28.9,7.3,60,传感器工作正常，相关概率低。,EnvSensor-B2
377,2025-06-19 04:15:00,北京海淀,28.6,7.1,44,传感器工作正常，相关概率低。,EnvSensor-B2
378,2025-06-19 04:30:00,青岛市南,27.6,7.2,46,周围环境相关，采样值可信。,EnvSensor-A1
379,2025-06-19 04:45:00,上海浦东,31.0,7.1,50,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-B2
380,2025-06-19 05:00:00,武汉武昌,20.5,7.4,72,相关可能导致当前读数偏高。,EnvSensor-C3
381,2025-06-19 05:15:00,成都高新,31.8,7.3,37,当前时段为相关，需关注PM变化。,EnvSensor-B2
382,2025-06-19 05:30:00,青岛市南,28.4,7.0,53,当前时段为相关，需关注PM变化。,EnvSensor-B2
383,2025-06-19 05:45:00,武汉武昌,23.6,7.2,39,检测连续稳定，无明显相关迹象。,EnvSensor-B2
384,2025-06-19 06:00:00,杭州滨江,31.0,6.8,50,当前时段为相关，需关注PM变化。,EnvSensor-C3
385,2025-06-19 06:15:00,上海浦东,20.4,7.2,65,检测连续稳定，无明显相关迹象。,EnvSensor-C3
386,2025-06-19 06:30:00,武汉武昌,23.8,7.2,80,周围环境相关，采样值可信。,EnvSensor-A1
387,2025-06-19 06:45:00,天津南开,24.6,7.2,38,相关可能导致当前读数偏高。,EnvSensor-A1
388,2025-06-19 07:00:00,深圳南山,21.8,6.9,62,检测连续稳定，无明显相关迹象。,EnvSensor-A1
389,2025-06-19 07:15:00,哈尔滨道里,21.5,6.8,65,传感器工作正常，相关概率低。,EnvSensor-A1
390,2025-06-19 07:30:00,郑州金水,23.5,7.0,55,传感器工作正常，相关概率低。,EnvSensor-A1
391,2025-06-19 07:45:00,济南历下,30.8,6.8,80,检测连续稳定，无明显相关迹象。,EnvSensor-C3
392,2025-06-19 08:00:00,成都高新,22.0,6.7,75,监测点靠近相关区域，可能存在传感器漂移风险。,EnvSensor-B2
393,2025-06-19 08:15:00,北京海淀,31.4,7.2,49,传感器工作正常，相关概率低。,EnvSensor-C3
394,2025-06-19 08:30:00,杭州滨江,25.7,6.8,60,检测连续稳定，无明显相关迹象。,EnvSensor-B2
395,2025-06-19 08:45:00,成都高新,26.4,6.9,47,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-C3
396,2025-06-19 09:00:00,深圳南山,30.7,7.5,36,监测点靠近相关区域，可能存在绿化带风险。,EnvSensor-C3
397,2025-06-19 09:15:00,哈尔滨道里,29.5,7.1,49,传感器工作正常，相关概率低。,EnvSensor-C3
398,2025-06-19 09:30:00,南京鼓楼,26.9,7.4,48,监测点靠近相关区域，可能存在交通高峰风险。,EnvSensor-B2
399,2025-06-19 09:45:00,上海浦东,25.0,6.8,31,传感器工作正常，相关概率低。,EnvSensor-B2
400,2025-06-19 10:00:00,苏州吴中,25.7,7.1,75,当前时段为相关，需关注PM变化。,EnvSensor-A1
401,2025-06-19 10:15:00,无锡滨湖,29.8,6.9,66,检测连续稳定，无明显相关迹象。,EnvSensor-B2
402,2025-06-19 10:30:00,西安碑林,25.3,7.5,45,监测点靠近相关区域，可能存在传感器漂移风险。,EnvSensor-A1
403,2025-06-19 10:45:00,西安碑林,23.0,7.0,60,传感器工作正常，相关概率低。,EnvSensor-C3
404,2025-06-19 11:00:00,上海浦东,25.0,6.8,31,数据波动明显，疑似相关影响。,EnvSensor-A1
405,2025-06-19 11:15:00,南京鼓楼,23.8,7.0,40,数据波动明显，疑似相关影响。,EnvSensor-C3
406,2025-06-19 11:30:00,苏州吴中,24.1,7.3,34,当前时段为相关，需关注PM变化。,EnvSensor-C3
407,2025-06-19 11:45:00,北京海淀,20.6,7.0,40,数据波动明显，疑似相关影响。,EnvSensor-B2
408,2025-06-19 12:00:00,郑州金水,28.7,7.0,30,当前时段为相关，需关注PM变化。,EnvSensor-B2
409,2025-06-19 12:15:00,天津南开,22.9,7.3,58,传感器工作正常，相关概率低。,EnvSensor-B2
410,2025-06-19 12:30:00,南京鼓楼,26.0,7.5,65,当前时段为相关，需关注PM变化。,EnvSensor-A1
411,2025-06-19 12:45:00,西安碑林,23.5,7.3,57,传感器工作正常，相关概率低。,EnvSensor-C3
412,2025-06-19 13:00:00,武汉武昌,29.2,7.3,62,当前时段为相关，需关注PM变化。,EnvSensor-B2
413,2025-06-19 13:15:00,天津南开,26.7,6.9,61,数据波动明显，疑似相关影响。,EnvSensor-B2
414,2025-06-19 13:30:00,合肥庐阳,31.2,6.8,76,当前时段为相关，需关注PM变化。,EnvSensor-B2
415,2025-06-19 13:45:00,郑州金水,27.4,7.3,30,当前时段为相关，需关注PM变化。,EnvSensor-B2
416,2025-06-19 14:00:00,成都高新,27.9,7.4,80,检测连续稳定，无明显相关迹象。,EnvSensor-A1
417,2025-06-19 14:15:00,郑州金水,30.0,6.9,69,相关可能导致当前读数偏高。,EnvSensor-C3
418,2025-06-19 14:30:00,杭州滨江,25.3,7.0,49,传感器工作正常，相关概率低。,EnvSensor-A1
419,2025-06-19 14:45:00,郑州金水,31.7,6.8,56,相关可能导致当前读数偏高。,EnvSensor-C3
420,2025-06-19 15:00:00,成都高新,23.4,7.5,77,传感器工作正常，相关概率低。,EnvSensor-C3
421,2025-06-19 15:15:00,深圳南山,20.3,7.4,78,数据波动明显，疑似相关影响。,EnvSensor-B2
422,2025-06-19 15:30:00,无锡滨湖,24.1,7.0,62,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-C3
423,2025-06-19 15:45:00,重庆渝中,25.8,7.0,48,传感器工作正常，相关概率低。,EnvSensor-B2
424,2025-06-19 16:00:00,南京鼓楼,31.0,7.5,62,监测点靠近相关区域，可能存在工业污染风险。,EnvSensor-A1
425,2025-06-19 16:15:00,天津南开,27.3,7.4,62,当前时段为相关，需关注PM变化。,EnvSensor-B2
426,2025-06-19 16:30:00,北京海淀,20.7,7.2,67,周围环境相关，采样值可信。,EnvSensor-C3
427,2025-06-19 16:45:00,武汉武昌,30.5,7.3,58,当前时段为相关，需关注PM变化。,EnvSensor-B2
428,2025-06-19 17:00:00,杭州滨江,29.1,7.3,47,数据波动明显，疑似相关影响。,EnvSensor-C3
429,2025-06-19 17:15:00,南京鼓楼,23.2,7.5,41,传感器工作正常，相关概率低。,EnvSensor-C3
430,2025-06-19 17:30:00,天津南开,21.2,6.8,75,当前时段为相关，需关注PM变化。,EnvSensor-B2
431,2025-06-19 17:45:00,北京海淀,30.7,7.0,50,检测连续稳定，无明显相关迹象。,EnvSensor-C3
432,2025-06-19 18:00:00,广州天河,28.7,6.9,72,周围环境相关，采样值可信。,EnvSensor-C3
433,2025-06-19 18:15:00,长沙雨花,31.8,6.9,77,传感器工作正常，相关概率低。,EnvSensor-A1
434,2025-06-19 18:30:00,无锡滨湖,25.6,7.2,58,监测点靠近相关区域，可能存在交通高峰风险。,EnvSensor-B2
435,2025-06-19 18:45:00,杭州滨江,20.8,6.8,40,数据波动明显，疑似相关影响。,EnvSensor-B2
436,2025-06-19 19:00:00,合肥庐阳,25.6,6.9,39,周围环境相关，采样值可信。,EnvSensor-B2
437,2025-06-19 19:15:00,南京鼓楼,20.1,6.8,64,数据波动明显，疑似相关影响。,EnvSensor-A1
438,2025-06-19 19:30:00,重庆渝中,25.4,7.3,61,相关可能导致当前读数偏高。,EnvSensor-C3
439,2025-06-19 19:45:00,济南历下,24.1,7.5,54,检测连续稳定，无明显相关迹象。,EnvSensor-A1
440,2025-06-19 20:00:00,重庆渝中,24.3,7.2,34,传感器工作正常，相关概率低。,EnvSensor-C3
441,2025-06-19 20:15:00,重庆渝中,22.9,7.3,51,当前时段为相关，需关注PM变化。,EnvSensor-B2
442,2025-06-19 20:30:00,苏州吴中,24.0,7.5,70,相关可能导致当前读数偏高。,EnvSensor-C3
443,2025-06-19 20:45:00,济南历下,31.8,6.9,65,数据波动明显，疑似相关影响。,EnvSensor-A1
444,2025-06-19 21:00:00,成都高新,20.9,7.5,67,检测连续稳定，无明显相关迹象。,EnvSensor-C3
445,2025-06-19 21:15:00,重庆渝中,29.0,7.3,37,检测连续稳定，无明显相关迹象。,EnvSensor-C3
446,2025-06-19 21:30:00,北京海淀,29.5,7.4,58,当前时段为相关，需关注PM变化。,EnvSensor-A1
447,2025-06-19 21:45:00,广州天河,26.9,7.2,79,数据波动明显，疑似相关影响。,EnvSensor-B2
448,2025-06-19 22:00:00,济南历下,30.0,6.8,35,传感器工作正常，相关概率低。,EnvSensor-A1
449,2025-06-19 22:15:00,无锡滨湖,23.8,7.3,63,数据波动明显，疑似相关影响。,EnvSensor-C3
450,2025-06-19 22:30:00,济南历下,27.0,7.2,46,周围环境相关，采样值可信。,EnvSensor-C3
451,2025-06-19 22:45:00,深圳南山,25.3,6.7,78,传感器工作正常，相关概率低。,EnvSensor-A1
452,2025-06-19 23:00:00,上海浦东,22.0,6.8,55,周围环境相关，采样值可信。,EnvSensor-A1
453,2025-06-19 23:15:00,苏州吴中,20.9,7.0,36,检测连续稳定，无明显相关迹象。,EnvSensor-A1
454,2025-06-19 23:30:00,南京鼓楼,30.2,7.2,56,当前时段为相关，需关注PM变化。,EnvSensor-C3
455,2025-06-19 23:45:00,西安碑林,31.3,6.8,43,相关可能导致当前读数偏高。,EnvSensor-A1
456,2025-06-20 00:00:00,深圳南山,31.3,7.2,78,传感器工作正常，相关概率低。,EnvSensor-A1
457,2025-06-20 00:15:00,宁波鄞州,25.1,6.9,45,传感器工作正常，相关概率低。,EnvSensor-A1
458,2025-06-20 00:30:00,苏州吴中,30.6,7.4,79,检测连续稳定，无明显相关迹象。,EnvSensor-C3
459,2025-06-20 00:45:00,宁波鄞州,21.2,7.4,44,监测点靠近相关区域，可能存在施工风险。,EnvSensor-C3
460,2025-06-20 01:00:00,广州天河,30.9,6.7,63,传感器工作正常，相关概率低。,EnvSensor-B2
461,2025-06-20 01:15:00,哈尔滨道里,26.3,7.2,80,相关可能导致当前读数偏高。,EnvSensor-B2
462,2025-06-20 01:30:00,天津南开,29.6,7.1,59,数据波动明显，疑似相关影响。,EnvSensor-C3
463,2025-06-20 01:45:00,广州天河,22.6,7.4,31,相关可能导致当前读数偏高。,EnvSensor-B2
464,2025-06-20 02:00:00,郑州金水,30.0,7.0,57,传感器工作正常，相关概率低。,EnvSensor-A1
465,2025-06-20 02:15:00,南京鼓楼,23.7,7.1,56,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-C3
466,2025-06-20 02:30:00,南京鼓楼,29.8,6.8,31,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-B2
467,2025-06-20 02:45:00,无锡滨湖,24.5,6.9,66,检测连续稳定，无明显相关迹象。,EnvSensor-B2
468,2025-06-20 03:00:00,合肥庐阳,24.5,6.7,37,监测点靠近相关区域，可能存在绿化带风险。,EnvSensor-B2
469,2025-06-20 03:15:00,北京海淀,28.2,7.4,39,传感器工作正常，相关概率低。,EnvSensor-A1
470,2025-06-20 03:30:00,南京鼓楼,23.8,7.1,45,周围环境相关，采样值可信。,EnvSensor-A1
471,2025-06-20 03:45:00,成都高新,31.9,7.4,79,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-A1
472,2025-06-20 04:00:00,郑州金水,25.6,7.1,65,检测连续稳定，无明显相关迹象。,EnvSensor-B2
473,2025-06-20 04:15:00,武汉武昌,22.1,7.2,38,传感器工作正常，相关概率低。,EnvSensor-A1
474,2025-06-20 04:30:00,济南历下,28.3,7.0,80,相关可能导致当前读数偏高。,EnvSensor-A1
475,2025-06-20 04:45:00,上海浦东,21.2,7.4,38,周围环境相关，采样值可信。,EnvSensor-C3
476,2025-06-20 05:00:00,西安碑林,29.0,7.4,56,当前时段为相关，需关注PM变化。,EnvSensor-C3
